DOH_Reg_Office,Fac_County,Fac_ID,Fac_Type,Fac_Name,Week_End_Report_Date,Week_End_Report_Count,Confirmed_In_Facility,Confirmed_Out_Of_Facility,Presumed_In_Facility
Western Regional Office - Buffalo,ERIE,001739,NH,TERRACE VIEW LONG TERM CARE FACILITY,12/15/2020,2,2,0,0
Western Regional Office - Buffalo,ERIE,000296,NH,BROTHERS OF MERCY NURSING & REHABILITATION CENTER,12/15/2020,3,2,1,0
Central New York Regional Office,BROOME,000056,NH,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT ENDICOTT, LLC",12/15/2020,3,4,0,0
Western Regional Office - Rochester,LIVINGSTON,000392,NH,CONESUS LAKE NURSING HOME,12/15/2020,2,2,0,0
Western Regional Office - Buffalo,GENESEE,000343,NH,THE GRAND REHABILITATION AND NURSING AT BATAVIA,12/15/2020,1,0,1,0
Capital District Regional Office,ALBANY,000022,NH,DAUGHTERS OF SARAH NURSING CENTER,12/15/2020,1,1,0,0
Central New York Regional Office,ONEIDA,000606,NH,MASONIC CARE COMMUNITY OF NEW YORK,12/15/2020,4,4,1,0
Central New York Regional Office,ONEIDA,006057,NH,MVHS REHABILITATION AND NURSING CENTER,12/15/2020,3,2,1,0
Western Regional Office - Rochester,ONTARIO,000674,NH,LIVING CENTER AT GENEVA - SOUTH,12/15/2020,1,1,0,0
Western Regional Office - Buffalo,NIAGARA,006528,NH,OUR LADY OF PEACE NURSING CARE RESIDENCE,12/15/2020,7,8,1,0
Western Regional Office - Buffalo,NIAGARA,000579,NH,SCHOELLKOPF HEALTH CENTER,12/15/2020,1,2,0,0
Capital District Regional Office,MONTGOMERY,000483,NH,WILKINSON RESIDENTIAL HEALTH CARE FACILITY,12/15/2020,2,1,1,0
Western Regional Office - Rochester,MONROE,000444,NH,CHURCH HOME OF THE PROTESTANT EPISCOPAL CHURCH,12/15/2020,2,2,0,0
Western Regional Office - Rochester,MONROE,004808,NH,EDNA TINA WILSON LIVING CENTER,12/15/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,003872,NH,WHITE OAKS REHABILITATION AND NURSING CENTER,12/15/2020,2,1,3,0
Western Regional Office - Rochester,MONROE,000469,NH,ELDERWOOD OF LAKESIDE AT BROCKPORT,12/15/2020,4,4,0,0
Metropolitan Area Regional Office - New York City,QUEENS,001670,NH,OZANAM HALL OF QUEENS NURSING HOME INC,12/15/2020,1,1,0,0
Western Regional Office - Rochester,MONROE,000479,NH,HILL HAVEN NURSING HOME,12/15/2020,5,3,2,0
Western Regional Office - Rochester,MONROE,000475,NH,LATTA ROAD NURSING HOME EAST,12/15/2020,1,0,2,0
Western Regional Office - Rochester,MONROE,000448,NH,NEW ROC NURSING AND REHABILITATION CENTER,12/15/2020,2,2,1,0
Western Regional Office - Rochester,MONROE,000442,NH,ST JOHNS HEALTH CARE CORPORATION,12/15/2020,2,2,0,0
Western Regional Office - Rochester,MONROE,005538,NH,THE HIGHLANDS AT BRIGHTON,12/15/2020,3,3,0,0
Western Regional Office - Rochester,MONROE,000449,NH,WESLEY GARDENS CORPORATION,12/15/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,005907,NH,NORTHERN MANHATTAN REHABILITATION AND NURSING CENTER,12/15/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001370,NH,THE RIVERSIDE,12/15/2020,1,1,0,0
Western Regional Office - Rochester,MONROE,000465,NH,THE HURLBUT,12/15/2020,1,1,0,0
Central New York Regional Office,OSWEGO,007734,NH,SENECA HILL MANOR INC,12/15/2020,2,2,0,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,000696,NH,SAPPHIRE NURSING AT MEADOW HILL,12/15/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,000702,NH,THE VALLEY VIEW CENTER FOR NURSING CARE AND REHABILITATION,12/15/2020,5,5,0,0
Capital District Regional Office,RENSSELAER,004549,NH,EDDY HERITAGE HOUSE NURSING AND REHABILITATION CENTER,12/15/2020,2,2,0,0
Western Regional Office - Rochester,ONTARIO,000672,NH,LIVING CENTER AT GENEVA - NORTH,12/15/2020,2,2,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,000516,NH,THE GRAND PAVILION FOR REHAB & NURSING AT ROCKVILLE CENTRE,12/15/2020,3,1,2,0
Central New York Regional Office,ONONDAGA,003243,NH,ELDERWOOD AT LIVERPOOL,12/15/2020,3,4,1,0
Central New York Regional Office,ONONDAGA,004555,NH,IROQUOIS NURSING HOME INC,12/15/2020,3,3,1,0
Central New York Regional Office,ONONDAGA,000648,NH,LORETTO HEALTH AND REHABILITATION CENTER,12/15/2020,6,11,1,0
Western Regional Office - Rochester,MONROE,000437,NH,"THE SHORE WINDS, LLC",12/15/2020,1,1,0,0
Central New York Regional Office,ONONDAGA,000655,NH,ST CAMILLUS RESIDENTIAL HEALTH CARE FACILITY,12/15/2020,2,2,0,0
Central New York Regional Office,ONONDAGA,000650,NH,VAN DUYN CENTER FOR REHABILITATION AND NURSING,12/15/2020,3,2,1,0
Western Regional Office - Rochester,MONROE,000462,NH,MAPLEWOOD NURSING HOME INC,12/15/2020,1,1,0,0
Western Regional Office - Rochester,MONROE,370-E-196,OACF,WESTWOOD COMMONS ADULT HOME,12/15/2020,1,0,1,0
Capital District Regional Office,OTSEGO,570-F-053,OACF,ROBYNWOOD ASSISTED LIVING,12/15/2020,1,0,1,0
Central New York Regional Office,ONONDAGA,520-S-129,OACF,THE HEARTH AT GREENPOINT SENIOR LIVING,12/15/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,230-F-082,OACF,"HEDGEWOOD ALP, LLC",12/15/2020,1,0,1,0
Western Regional Office - Buffalo,ERIE,240-F-827,OACF,PEREGRINE'S LANDING AT ORCHARD PARK,12/15/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-E-038,OACF,ST. MICHAEL'S HOME,12/15/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-998,OACF,WOODVIEW COURT,12/15/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-095,OACF,THE PAVILION AT PINE VALLEY,12/15/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-994,AL,SUNRISE OF CRESTWOOD,12/22/2020,2,1,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-157,AL,THE CLUB AT BRIARCLIFF MANOR,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-007,AL,THE COUNTRY HOUSE IN WESTCHESTER,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-988,AL,THE KENSINGTON,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-129,AL,THE SPRINGVALE INN,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-919,AL,BRANDYWINE SENIOR LIVING AT HUNTINGTON TERRACE,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,331-S-011,AL,SUNRISE AT MILL BASIN,12/22/2020,1,0,1,0
Western Regional Office - Buffalo,ERIE,240-E-004,AL,BRISTOL HOME,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,020-S-001,AL,ATRIA RIVERDALE,12/22/2020,1,0,1,0
Western Regional Office - Buffalo,CHAUTAUQUA,060-F-035,AL,FREWSBURG REST HOME,12/22/2020,2,0,2,0
Western Regional Office - Buffalo,ERIE,240-S-117,AL,ELDERWOOD ASSISTED LIVING AT HAMBURG,12/22/2020,1,0,1,0
Central New York Regional Office,ONEIDA,510-F-059,AL,THE TERRACE AT WOODLAND,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-F-220,AL,HEATHER HEIGHTS OF PITTSFORD,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-F-230,AL,GRANDE'VILLE SENIOR LIVING COMMUNITY,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-S-859,AL,THE VILLAGE AT MILL LANDING,12/22/2020,4,0,8,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,540-F-036,AL,BRAEMAR LIVING AT WALLKILL,12/22/2020,1,0,1,0
Central New York Regional Office,ONONDAGA,520-F-143,AL,KEEPSAKE VILLAGE AT GREENPOINT,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-S-845,AL,GLENMERE AT CLOVERWOOD,12/22/2020,1,0,1,0
Central New York Regional Office,ONEIDA,000606,NH,MASONIC CARE COMMUNITY OF NEW YORK,12/22/2020,2,1,1,0
Central New York Regional Office,ONEIDA,006057,NH,MVHS REHABILITATION AND NURSING CENTER,12/22/2020,3,2,1,0
Central New York Regional Office,ONEIDA,005790,NH,ONEIDA CENTER FOR REHABILITATION AND NURSING,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,002533,NH,MIDDLETOWN PARK REHABILITATION & HEALTH CARE CENTER,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,000533,NH,BELAIR CARE CENTER INC,12/22/2020,2,1,1,0
Western Regional Office - Rochester,MONROE,000479,NH,HILL HAVEN NURSING HOME,12/22/2020,4,5,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,004089,NH,NORTHWELL HEALTH STERN FAMILY CENTER FOR REHABILITATION,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,003872,NH,WHITE OAKS REHABILITATION AND NURSING CENTER,12/22/2020,2,0,2,0
Capital District Regional Office,RENSSELAER,000767,NH,RIVERSIDE CENTER FOR REHABILITATION AND NURSING,12/22/2020,3,1,2,0
Capital District Regional Office,RENSSELAER,004549,NH,EDDY HERITAGE HOUSE NURSING AND REHABILITATION CENTER,12/22/2020,5,2,3,0
Capital District Regional Office,MONTGOMERY,000483,NH,WILKINSON RESIDENTIAL HEALTH CARE FACILITY,12/22/2020,5,8,1,0
Capital District Regional Office,MONTGOMERY,000488,NH,CAPSTONE CENTER FOR REHABILITATION AND NURSING,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,QUEENS,006384,NH,NEW YORK CENTER FOR REHABILITATION & NURSING,12/22/2020,2,0,3,0
Central New York Regional Office,OSWEGO,007734,NH,SENECA HILL MANOR INC,12/22/2020,3,3,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,005907,NH,NORTHERN MANHATTAN REHABILITATION AND NURSING CENTER,12/22/2020,2,1,1,0
Western Regional Office - Rochester,MONROE,000431,NH,AARON MANOR REHABILITATION AND NURSING CENTER,12/22/2020,3,3,0,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,000696,NH,SAPPHIRE NURSING AT MEADOW HILL,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,000481,NH,CREST MANOR LIVING AND REHABILITATION CENTER,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,000702,NH,THE VALLEY VIEW CENTER FOR NURSING CARE AND REHABILITATION,12/22/2020,2,2,1,0
Western Regional Office - Rochester,MONROE,000469,NH,ELDERWOOD OF LAKESIDE AT BROCKPORT,12/22/2020,2,2,0,0
Western Regional Office - Rochester,ONTARIO,000672,NH,LIVING CENTER AT GENEVA - NORTH,12/22/2020,5,6,0,0
Western Regional Office - Rochester,ONTARIO,000674,NH,LIVING CENTER AT GENEVA - SOUTH,12/22/2020,1,1,0,0
Western Regional Office - Rochester,ONTARIO,000683,NH,ONTARIO CENTER FOR REHABILITATION AND HEALTHCARE,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,000475,NH,LATTA ROAD NURSING HOME EAST,12/22/2020,2,2,0,0
Western Regional Office - Rochester,MONROE,000462,NH,MAPLEWOOD NURSING HOME INC,12/22/2020,1,1,0,0
Central New York Regional Office,ONONDAGA,004555,NH,IROQUOIS NURSING HOME INC,12/22/2020,5,10,1,0
Central New York Regional Office,ONONDAGA,000648,NH,LORETTO HEALTH AND REHABILITATION CENTER,12/22/2020,4,6,0,0
Central New York Regional Office,ONONDAGA,000655,NH,ST CAMILLUS RESIDENTIAL HEALTH CARE FACILITY,12/22/2020,5,7,0,0
Western Regional Office - Rochester,MONROE,000448,NH,NEW ROC NURSING AND REHABILITATION CENTER,12/22/2020,2,3,0,0
Central New York Regional Office,ONONDAGA,003243,NH,ELDERWOOD AT LIVERPOOL,12/22/2020,3,3,0,0
Western Regional Office - Buffalo,NIAGARA,006528,NH,OUR LADY OF PEACE NURSING CARE RESIDENCE,12/22/2020,2,1,2,0
Western Regional Office - Rochester,MONROE,000477,NH,ST ANNS COMMUNITY,12/22/2020,1,1,0,0
Western Regional Office - Rochester,MONROE,000476,NH,ST ANNS COMMUNITY,12/22/2020,2,2,0,0
Western Regional Office - Rochester,MONROE,000464,NH,THE FRIENDLY HOME,12/22/2020,1,1,0,0
Western Regional Office - Buffalo,NIAGARA,000588,NH,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT GASPORT, LLC",12/22/2020,1,1,0,0
Western Regional Office - Buffalo,ERIE,001739,NH,TERRACE VIEW LONG TERM CARE FACILITY,12/22/2020,2,1,1,0
Western Regional Office - Rochester,MONROE,000457,NH,WEDGEWOOD NURSING AND REHABILITATION CENTER,12/22/2020,1,1,0,0
Western Regional Office - Rochester,MONROE,003392,NH,UNITY LIVING CENTER,12/22/2020,2,2,0,0
Western Regional Office - Rochester,MONROE,005538,NH,THE HIGHLANDS AT BRIGHTON,12/22/2020,3,4,0,0
Western Regional Office - Rochester,MONROE,000442,NH,ST JOHNS HEALTH CARE CORPORATION,12/22/2020,2,2,1,0
Western Regional Office - Rochester,MONROE,000459,NH,FAIRPORT BAPTIST HOMES,12/22/2020,2,3,1,0
Western Regional Office - Buffalo,ERIE,004772,NH,ROSA COPLON JEWISH HOME AND INFIRMARY,12/22/2020,1,1,0,0
Western Regional Office - Rochester,MONROE,004808,NH,EDNA TINA WILSON LIVING CENTER,12/22/2020,2,3,0,0
Western Regional Office - Buffalo,ERIE,004898,NH,FATHER BAKER MANOR,12/22/2020,3,2,3,0
Central New York Regional Office,MADISON,004494,NH,CROUSE COMMUNITY CENTER INC,12/22/2020,7,17,2,0
Central New York Regional Office,BROOME,000050,NH,"BRIDGEWATER CENTER FOR REHABILITATION & NURSING, LLC",12/22/2020,1,1,0,0
Capital District Regional Office,ALBANY,000021,NH,HUDSON PARK REHABILITATION AND NURSING CENTER,12/22/2020,2,2,0,0
Western Regional Office - Buffalo,ERIE,004474,NH,ELDERWOOD AT CHEEKTOWAGA,12/22/2020,4,6,1,0
Western Regional Office - Buffalo,ERIE,000296,NH,BROTHERS OF MERCY NURSING & REHABILITATION CENTER,12/22/2020,3,8,0,0
Western Regional Office - Buffalo,GENESEE,000344,NH,PREMIER GENESEE CENTER FOR NURSING AND REHABILITATION,12/22/2020,2,2,0,0
Capital District Regional Office,ALBANY,000022,NH,DAUGHTERS OF SARAH NURSING CENTER,12/22/2020,2,2,0,0
Metropolitan Area Regional Office - New York City,KINGS,001383,NH,THE CHATEAU AT BROOKLYN REHABILITATION AND NURSING CENTER,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001405,NH,THE PHOENIX REHABILITATION AND NURSING CENTER,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001398,NH,SHEEPSHEAD NURSING & REHABILITATION CENTER,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,001250,NH,KINGS HARBOR MULTICARE CENTER,12/22/2020,1,2,0,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,007643,NH,"LUTHERAN CENTER AT POUGHKEEPSIE, INC",12/22/2020,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,000186,NH,THE PINES AT POUGHKEEPSIE CENTER FOR NURSING & REHABILITATION,12/22/2020,1,1,0,0
Western Regional Office - Buffalo,ALLEGANY,002589,NH,WELLSVILLE MANOR CARE CENTER,12/22/2020,2,0,2,0
Central New York Regional Office,CORTLAND,000160,NH,CORTLAND PARK REHABILITATION AND NURSING CENTER,12/22/2020,4,4,0,0
Central New York Regional Office,CORTLAND,000161,NH,CROWN PARK REHABILITATION AND NURSING CENTER,12/22/2020,5,7,0,0
Central New York Regional Office,HERKIMER,003170,NH,VALLEY HEALTH SERVICES INC,12/22/2020,1,1,0,0
Central New York Regional Office,HERKIMER,000357,NH,THE GRAND REHABILITATION AND NURSING AT MOHAWK,12/22/2020,2,3,0,0
Western Regional Office - Buffalo,ERIE,000294,NH,GARDEN GATE HEALTH CARE FACILITY,12/22/2020,1,0,1,0
Western Regional Office - Buffalo,GENESEE,005751,NH,WESTERN NEW YORK STATE VETERANS HOME,12/22/2020,3,3,1,0
Central New York Regional Office,CHENANGO,000126,NH,CHASEHEALTH REHAB AND RESIDENTIAL CARE,12/22/2020,3,3,0,0
Western Regional Office - Buffalo,GENESEE,000343,NH,THE GRAND REHABILITATION AND NURSING AT BATAVIA,12/22/2020,1,1,0,0
Central New York Regional Office,BROOME,000056,NH,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT ENDICOTT, LLC",12/22/2020,4,6,0,0
Western Regional Office - Rochester,CHEMUNG,001255,NH,BETHANY NURSING HOME & HEALTH RELATED FACILITY INC,12/22/2020,1,1,0,0
Western Regional Office - Buffalo,ERIE,003295,NH,ELDERWOOD AT HAMBURG,12/22/2020,7,13,1,0
Western Regional Office - Rochester,CHEMUNG,000124,NH,ELCOR NURSING AND REHABILITATION CENTER,12/22/2020,2,2,0,0
Western Regional Office - Buffalo,ERIE,003012,NH,BUFFALO CENTER FOR REHABILITATION AND NURSING,12/22/2020,1,1,0,0
Western Regional Office - Buffalo,ERIE,007789,NH,CANTERBURY WOODS,12/22/2020,3,3,3,0
Western Regional Office - Buffalo,ERIE,003455,NH,"HARRIS HILL NURSING FACILITY, LLC",12/22/2020,4,5,3,0
Western Regional Office - Rochester,MONROE,000449,NH,WESLEY GARDENS CORPORATION,12/22/2020,1,1,0,0
Western Regional Office - Rochester,LIVINGSTON,000392,NH,CONESUS LAKE NURSING HOME,12/22/2020,1,1,0,0
Western Regional Office - Buffalo,ERIE,000272,NH,ELDERWOOD AT LANCASTER,12/22/2020,3,1,2,0
Western Regional Office - Buffalo,ERIE,000288,NH,BEECHWOOD HOMES,12/22/2020,1,1,0,0
Western Regional Office - Buffalo,ERIE,002956,NH,"AUTUMN VIEW HEALTH CARE FACILITY, LLC",12/22/2020,1,1,0,0
Western Regional Office - Buffalo,CATTARAUGUS,000083,NH,THE PINES HEALTHCARE & REHABILITATION CENTERS MACHIAS CAMPUS,12/22/2020,1,0,1,0
Western Regional Office - Buffalo,ERIE,000269,NH,SCHOFIELD RESIDENCE,12/22/2020,1,3,0,0
Capital District Regional Office,SCHENECTADY,000846,NH,GLENDALE HOME-SCHDY CNTY DEPT SOCIAL SERVICES,12/22/2020,1,1,0,0
Capital District Regional Office,SARATOGA,000822,NH,WESLEY HEALTH CARE CENTER INC,12/22/2020,2,2,0,0
Central New York Regional Office,SAINT LAWRENCE,000802,NH,UNITED HELPERS NURSING HOME,12/22/2020,5,5,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001087,NH,CEDAR MANOR NURSING & REHABILITATION CENTER,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001120,NH,"SKY VIEW REHABILITATION AND HEALTH CARE CENTER, LLC",12/22/2020,2,2,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001080,NH,SUTTON PARK CENTER FOR NURSING AND REHABILITATION,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001042,NH,THE EMERALD PEEK REHABILITATION AND NURSING CENTER,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001134,NH,THE OSBORN,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,001144,NH,WATERVIEW HILLS REHABILITATION AND NURSING CENTER,12/22/2020,1,1,0,0
Western Regional Office - Rochester,STEUBEN,001658,NH,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT THREE RIVERS, LLC",12/22/2020,1,1,0,0
Western Regional Office - Rochester,STEUBEN,004156,NH,IRA DAVENPORT MEMORIAL HOSPITAL SNF/HRF,12/22/2020,6,12,1,0
Metropolitan Area Regional Office - New York City,RICHMOND,001750,NH,"CLOVE LAKES HEALTH CARE AND REHABILITATION CENTER, INC",12/22/2020,1,1,0,0
Western Regional Office - Rochester,WAYNE,001034,NH,WAYNE COUNTY NURSING HOME,12/22/2020,1,0,1,0
Western Regional Office - Rochester,SENECA,004286,NH,HUNTINGTON LIVING CENTER,12/22/2020,6,7,3,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000941,NH,ACADIA CENTER FOR NURSING AND REHABILITATION,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,006460,NH,AFFINITY SKILLED LIVING AND REHABILITATION CENTER,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003928,NH,"BROOKHAVEN HEALTH CARE FACILITY, LLC",12/22/2020,3,2,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003307,NH,EAST NECK NURSING & REHABILITATION CENTER,12/22/2020,1,0,1,0
Western Regional Office - Rochester,SCHUYLER,000859,NH,SCHUYLER HOSPITAL INC AND LONG TERM CARE UNIT,12/22/2020,2,1,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003421,NH,LONG ISLAND STATE VETERANS HOME,12/22/2020,4,3,2,0
Metropolitan Area Regional Office - New York City,RICHMOND,001748,NH,EGER HEALTH CARE AND REHABILITATION CENTER,12/22/2020,5,5,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000934,NH,MOMENTUM AT SOUTH BAY FOR REHABILITATION AND NURSING,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000935,NH,OUR LADY OF CONSOLATION NURSING AND REHABILITATIVE CARE CENTER,12/22/2020,2,1,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000888,NH,SUFFOLK CENTER FOR REHABILITATION AND NURSING,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,006871,NH,THE HAMPTONS CENTER FOR REHABILITATION AND NURSING,12/22/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,000908,NH,WOODHAVEN NURSING HOME,12/22/2020,4,1,3,0
Metropolitan Area Regional Office - New Rochelle,ULSTER,001003,NH,HUDSON VALLEY REHABILITATION & EXTENDED CARE CENTER,12/22/2020,6,3,5,0
Metropolitan Area Regional Office - New Rochelle,ULSTER,001001,NH,NEW PALTZ CENTER FOR REHABILITATION AND NURSING,12/22/2020,1,1,0,0
Central New York Regional Office,TOMPKINS,000982,NH,OAK HILL REHABILITATION AND NURSING CARE CENTER,12/22/2020,2,2,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-996,OACF,ATRIA BRIARCLIFF MANOR,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-127,OACF,SUNNYDALE HOME,12/22/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-E-016,OACF,ST. JOSEPH'S HOME,12/22/2020,1,0,1,0
Western Regional Office - Buffalo,ERIE,240-F-827,OACF,PEREGRINE'S LANDING AT ORCHARD PARK,12/22/2020,1,0,1,0
Capital District Regional Office,ALBANY,000-S-005,OACF,TERRACE AT BEVERWYCK,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-F-246,OACF,ELDERWOOD VILLAGE AT FAIRPORT,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-F-208,OACF,HILTON EAST ASSISTED LIVING,12/22/2020,1,0,1,0
Central New York Regional Office,ONONDAGA,520-S-120,OACF,LORETTO VILLAGE APTS. ENRICHED HOUSING SITE #5,12/22/2020,1,0,1,0
Central New York Regional Office,ONONDAGA,520-E-091,OACF,SEDGWICK HEIGHTS,12/22/2020,3,0,3,0
Central New York Regional Office,ONONDAGA,520-S-129,OACF,THE HEARTH AT GREENPOINT SENIOR LIVING,12/22/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-E-198,OACF,WOODCREST COMMONS,12/22/2020,1,0,2,0
Central New York Regional Office,ONEIDA,510-F-059,AL,THE TERRACE AT WOODLAND,12/29/2020,2,0,2,0
Western Regional Office - Rochester,MONROE,370-F-220,AL,HEATHER HEIGHTS OF PITTSFORD,12/29/2020,1,1,0,0
Western Regional Office - Rochester,MONROE,370-S-859,AL,THE VILLAGE AT MILL LANDING,12/29/2020,2,0,2,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,540-F-036,AL,BRAEMAR LIVING AT WALLKILL,12/29/2020,1,0,1,0
Central New York Regional Office,ONONDAGA,520-E-093,AL,MCHARRIE POINTE,12/29/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-S-193,AL,THE HAMLET AT PARK RIDGE,12/29/2020,1,0,1,0
Western Regional Office - Buffalo,ERIE,240-F-868,AL,MARY AGNES MANOR ALP,12/29/2020,1,0,1,0
Western Regional Office - Buffalo,ERIE,240-S-106,AL,CANTERBURY WOODS,12/29/2020,1,0,1,0
Central New York Regional Office,BROOME,030-F-056,AL,BROOKDALE VESTAL WEST,12/29/2020,1,0,1,0
Western Regional Office - Buffalo,GENESEE,290-F-007,AL,GENESEE ADULT HOME,12/29/2020,1,0,1,0
Capital District Regional Office,SCHENECTADY,650-S-071,AL,BROOKDALE NISKAYUNA,12/29/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-988,AL,THE KENSINGTON,12/29/2020,2,2,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-129,AL,THE SPRINGVALE INN,12/29/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-919,AL,BRANDYWINE SENIOR LIVING AT HUNTINGTON TERRACE,12/29/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-311,AL,THE BRISTAL AT LAKE GROVE,12/29/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-313,AL,THE BRISTAL AT WEST BABYLON,12/29/2020,2,0,3,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,003422,NH,ST CATHERINE OF SIENA NURSING AND REHABILITATION CARE CENTER,12/29/2020,3,2,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,005638,NH,WESTHAMPTON CARE CENTER,12/29/2020,1,0,1,0
Capital District Regional Office,SCHENECTADY,000846,NH,GLENDALE HOME-SCHDY CNTY DEPT SOCIAL SERVICES,12/29/2020,1,1,0,0
Capital District Regional Office,SCHENECTADY,000839,NH,SCHENECTADY CENTER FOR REHABILITATION AND NURSING,12/29/2020,1,1,0,0
Capital District Regional Office,SARATOGA,000822,NH,WESLEY HEALTH CARE CENTER INC,12/29/2020,6,9,0,0
Metropolitan Area Regional Office - New York City,RICHMOND,001750,NH,"CLOVE LAKES HEALTH CARE AND REHABILITATION CENTER, INC",12/29/2020,1,1,0,0
Western Regional Office - Rochester,WAYNE,001034,NH,WAYNE COUNTY NURSING HOME,12/29/2020,1,1,0,0
Western Regional Office - Buffalo,WYOMING,001156,NH,EAST SIDE NURSING HOME,12/29/2020,1,1,0,0
